Generation,Current Best Fitness,Overall Best Fitness,Day,Instances
1,56.089285714285715,56.089285714285715,Tuesday,15
2,65.51785714285715,65.51785714285715,Wednesday,6
3,57.51785714285716,65.51785714285715,Wednesday,6
4,56.23214285714286,65.51785714285715,Monday,17
5,59.51785714285715,65.51785714285715,Wednesday,6
6,39.51785714285715,65.51785714285715,Wednesday,6
7,63.51785714285716,65.51785714285715,Tuesday,15
8,36.08928571428571,65.51785714285715,Friday,9
9,58.23214285714286,65.51785714285715,Monday,17
10,50.51785714285715,65.51785714285715,Monday,17
11,16.517857142857153,65.51785714285715,Monday,17
12,52.51785714285715,65.51785714285715,Tuesday,15
13,34.51785714285715,65.51785714285715,Thursday,11
14,68.23214285714288,68.23214285714288,Tuesday,13
15,52.08928571428571,68.23214285714288,Tuesday,13
16,19.089285714285708,68.23214285714288,Thursday,15
17,52.51785714285715,68.23214285714288,Wednesday,10
18,66.51785714285715,68.23214285714288,Tuesday,13
19,51.23214285714286,68.23214285714288,Thursday,15
20,23.517857142857153,68.23214285714288,Monday,14
21,34.51785714285715,68.23214285714288,Thursday,15
22,60.51785714285715,68.23214285714288,Monday,14
23,52.232142857142875,68.23214285714288,Tuesday,13
24,70.23214285714288,70.23214285714288,Monday,15
25,39.23214285714286,70.23214285714288,Tuesday,11
26,45.51785714285715,70.23214285714288,Friday,7
27,61.51785714285715,70.23214285714288,Monday,15
28,29.803571428571416,70.23214285714288,Tuesday,11
29,62.23214285714286,70.23214285714288,Monday,15
30,39.51785714285715,70.23214285714288,Monday,15
31,52.51785714285715,70.23214285714288,Monday,15
32,22.089285714285708,70.23214285714288,Friday,7
33,38.23214285714286,70.23214285714288,Friday,7
34,69.51785714285715,70.23214285714288,Friday,7
35,25.089285714285708,70.23214285714288,Wednesday,6
36,23.517857142857153,70.23214285714288,Monday,15
37,66.51785714285715,70.23214285714288,Monday,15
38,23.232142857142875,70.23214285714288,Tuesday,11
39,22.517857142857153,70.23214285714288,Wednesday,6
40,48.80357142857143,70.23214285714288,Wednesday,6
41,17.517857142857153,70.23214285714288,Monday,15
42,60.08928571428571,70.23214285714288,Wednesday,6
43,49.08928571428571,70.23214285714288,Tuesday,11
44,76.23214285714288,76.23214285714288,Wednesday,7
45,52.23214285714286,76.23214285714288,Thursday,18
46,60.23214285714286,76.23214285714288,Wednesday,7
47,45.23214285714286,76.23214285714288,Tuesday,13
48,25.089285714285708,76.23214285714288,Tuesday,13
49,51.803571428571416,76.23214285714288,Friday,9
50,44.08928571428571,76.23214285714288,Thursday,18
51,83.23214285714288,83.23214285714288,Thursday,15
52,44.23214285714286,83.23214285714288,Tuesday,13
53,47.23214285714287,83.23214285714288,Thursday,15
54,65.23214285714286,83.23214285714288,Tuesday,13
55,51.08928571428571,83.23214285714288,Thursday,15
56,55.51785714285715,83.23214285714288,Tuesday,13
57,75.23214285714288,83.23214285714288,Wednesday,11
58,58.23214285714287,83.23214285714288,Thursday,15
59,52.51785714285715,83.23214285714288,Thursday,15
60,43.51785714285715,83.23214285714288,Friday,7
61,27.517857142857153,83.23214285714288,Thursday,15
62,40.51785714285716,83.23214285714288,Wednesday,11
63,39.23214285714287,83.23214285714288,Thursday,15
64,34.23214285714286,83.23214285714288,Friday,7
65,34.23214285714287,83.23214285714288,Tuesday,13
66,80.51785714285715,83.23214285714288,Thursday,15
67,77.80357142857143,83.23214285714288,Monday,12
68,52.089285714285715,83.23214285714288,Friday,7
69,24.517857142857153,83.23214285714288,Tuesday,13
70,20.23214285714286,83.23214285714288,Wednesday,11
71,48.23214285714286,83.23214285714288,Tuesday,13
72,69.80357142857143,83.23214285714288,Thursday,15
73,31.23214285714286,83.23214285714288,Friday,7
74,33.51785714285716,83.23214285714288,Wednesday,11
75,75.08928571428571,83.23214285714288,Wednesday,11
76,42.23214285714287,83.23214285714288,Tuesday,13
77,39.089285714285715,83.23214285714288,Friday,7
78,41.803571428571416,83.23214285714288,Friday,7
79,42.51785714285715,83.23214285714288,Tuesday,13
80,58.232142857142875,83.23214285714288,Thursday,15
81,23.517857142857153,83.23214285714288,Wednesday,11
82,90.80357142857143,90.80357142857143,Thursday,16
83,63.51785714285715,90.80357142857143,Wednesday,10
84,42.51785714285715,90.80357142857143,Wednesday,10
85,53.23214285714286,90.80357142857143,Monday,12
86,59.51785714285715,90.80357142857143,Tuesday,15
87,49.51785714285715,90.80357142857143,Thursday,16
88,12.517857142857153,90.80357142857143,Thursday,16
89,14.232142857142875,90.80357142857143,Thursday,16
90,44.803571428571416,90.80357142857143,Tuesday,15
91,24.517857142857153,90.80357142857143,Tuesday,15
92,62.51785714285715,90.80357142857143,Thursday,16
93,43.51785714285716,90.80357142857143,Wednesday,10
94,35.51785714285715,90.80357142857143,Thursday,16
95,64.23214285714286,90.80357142857143,Thursday,16
96,41.51785714285715,90.80357142857143,Monday,12
97,42.51785714285715,90.80357142857143,Monday,12
98,16.232142857142875,90.80357142857143,Wednesday,10
99,71.23214285714286,90.80357142857143,Friday,5
100,31.23214285714286,90.80357142857143,Friday,5
