Generation,Current Best Fitness,Overall Best Fitness,Average Fitness
1,117.58928571428574,117.58928571428574,72.78928571428574
2,111.01785714285717,117.58928571428574,75.39040616246503
3,119.58928571428574,119.58928571428574,73.27836134453786
4,111.01785714285717,119.58928571428574,67.40686274509807
5,113.01785714285718,119.58928571428574,60.56057422969189
6,111.01785714285715,119.58928571428574,54.63550420168069
7,111.01785714285717,119.58928571428574,41.058823529411754
8,111.01785714285717,119.58928571428574,37.03221288515406
9,111.01785714285717,119.58928571428574,36.71813725490197
10,102.44642857142858,119.58928571428574,37.5014005602241
11,97.44642857142857,119.58928571428574,43.99124649859942
12,89.01785714285715,119.58928571428574,39.346638655462186
13,83.87499999999997,119.58928571428574,22.633403361344534
14,131.4464285714286,131.4464285714286,30.607142857142854
15,115.44642857142858,131.4464285714286,41.62044817927172
16,115.44642857142858,131.4464285714286,37.77240896358544
17,102.01785714285717,131.4464285714286,38.772759103641455
18,145.01785714285717,145.01785714285717,49.14215686274508
19,134.01785714285717,145.01785714285717,52.82282913165265
20,134.01785714285717,145.01785714285717,37.4142156862745
21,134.01785714285717,145.01785714285717,27.76540616246498
22,92.44642857142858,145.01785714285717,20.75490196078431
23,92.44642857142858,145.01785714285717,19.90546218487394
24,92.44642857142858,145.01785714285717,17.798319327731086
25,82.44642857142857,145.01785714285717,21.408963585434165
26,76.01785714285712,145.01785714285717,18.41246498599439
27,67.01785714285712,145.01785714285717,14.806372549019601
28,77.01785714285712,145.01785714285717,13.34663865546218
29,107.30357142857146,145.01785714285717,21.412815126050415
30,97.30357142857144,145.01785714285717,30.49929971988795
31,118.30357142857146,145.01785714285717,22.390056022408963
32,99.73214285714286,145.01785714285717,29.145308123249304
33,96.01785714285714,145.01785714285717,19.97724089635854
34,84.73214285714286,145.01785714285717,28.852591036414562
35,97.01785714285717,145.01785714285717,23.536414565826323
36,76.16071428571428,145.01785714285717,18.565476190476183
37,81.73214285714286,145.01785714285717,24.259803921568622
38,78.44642857142856,145.01785714285717,25.23844537815125
39,111.73214285714288,145.01785714285717,31.566526610644257
40,111.73214285714288,145.01785714285717,23.441526610644253
41,111.73214285714288,145.01785714285717,32.785364145658264
42,116.01785714285717,145.01785714285717,36.13165266106442
43,107.1607142857143,145.01785714285717,34.858893557422974
44,107.1607142857143,145.01785714285717,31.28466386554622
45,99.30357142857143,145.01785714285717,28.52906162464985
46,76.16071428571426,145.01785714285717,26.398459383753508
47,92.01785714285715,145.01785714285717,33.59453781512603
48,89.01785714285717,145.01785714285717,23.917717086834724
49,118.01785714285717,145.01785714285717,30.192577030812327
50,118.01785714285717,145.01785714285717,26.995098039215677
51,118.01785714285717,145.01785714285717,26.575280112044815
52,110.01785714285717,145.01785714285717,28.324929971988794
53,110.01785714285717,145.01785714285717,29.771708683473378
54,98.01785714285714,145.01785714285717,28.156512605042018
55,89.44642857142856,145.01785714285717,25.307773109243694
56,89.44642857142856,145.01785714285717,22.939775910364133
57,69.44642857142854,145.01785714285717,22.969187675070017
58,66.01785714285712,145.01785714285717,17.9985994397759
59,126.58928571428574,145.01785714285717,26.894957983193272
60,111.58928571428575,145.01785714285717,27.179971988795515
61,111.01785714285718,145.01785714285717,40.784663865546214
62,111.01785714285718,145.01785714285717,29.97093837535013
63,125.58928571428574,145.01785714285717,38.418067226890756
64,125.58928571428574,145.01785714285717,41.406512605042025
65,121.01785714285718,145.01785714285717,37.67121848739496
66,123.0178571428572,145.01785714285717,38.84768907563025
67,110.01785714285715,145.01785714285717,42.721638655462215
68,104.44642857142858,145.01785714285717,24.732142857142854
69,122.0178571428572,145.01785714285717,39.06442577030812
70,122.0178571428572,145.01785714285717,36.806372549019606
71,122.0178571428572,145.01785714285717,22.040966386554615
72,110.58928571428574,145.01785714285717,26.257002801120457
73,110.58928571428572,145.01785714285717,27.594887955182067
74,110.58928571428572,145.01785714285717,27.221638655462176
75,100.01785714285714,145.01785714285717,32.437324929971986
76,100.01785714285714,145.01785714285717,30.700980392156854
77,92.01785714285714,145.01785714285717,31.380602240896344
78,94.01785714285715,145.01785714285717,29.993347338935553
79,114.73214285714289,145.01785714285717,37.802871148459374
80,110.73214285714289,145.01785714285717,43.2983193277311
81,110.73214285714289,145.01785714285717,39.510854341736696
82,95.01785714285718,145.01785714285717,38.9719887955182
83,95.01785714285718,145.01785714285717,43.123249299719895
84,96.30357142857144,145.01785714285717,40.71463585434174
85,96.30357142857144,145.01785714285717,28.699929971988794
86,100.73214285714288,145.01785714285717,19.450280112044805
87,77.73214285714285,145.01785714285717,20.067577030812316
88,60.732142857142826,145.01785714285717,16.446778711484587
89,109.16071428571433,145.01785714285717,26.325280112044812
90,103.73214285714286,145.01785714285717,31.94152661064426
91,103.73214285714286,145.01785714285717,24.41106442577031
92,106.73214285714288,145.01785714285717,32.7296918767507
93,94.73214285714288,145.01785714285717,25.494397759103634
94,90.01785714285715,145.01785714285717,22.534313725490183
95,71.01785714285717,145.01785714285717,19.714985994397754
96,87.01785714285714,145.01785714285717,16.34978991596638
97,76.58928571428572,145.01785714285717,20.162815126050415
98,66.58928571428572,145.01785714285717,18.562675070028003
99,91.58928571428575,145.01785714285717,26.79621848739495
100,98.73214285714286,145.01785714285717,27.146008403361343
