Generation,Current Best Fitness,Overall Best Fitness
1,28.794642857142854,193.79464285714283
2,48.08035714285714,193.79464285714283
3,43.794642857142854,193.79464285714283
4,20.223214285714285,193.79464285714283
5,11.651785714285717,193.79464285714283
6,48.79464285714287,193.79464285714283
7,45.22321428571428,193.79464285714283
8,0,193.79464285714283
9,38.08035714285715,193.79464285714283
10,21.651785714285715,193.79464285714283
11,18.794642857142854,193.79464285714283
12,4.508928571428575,193.79464285714283
13,2.3660714285714324,193.79464285714283
14,42.36607142857144,193.79464285714283
15,0,193.79464285714283
16,50.22321428571427,193.79464285714283
17,43.08035714285714,193.79464285714283
18,8.794642857142856,193.79464285714283
19,69.50892857142858,193.79464285714283
20,53.79464285714286,193.79464285714283
21,29.50892857142857,193.79464285714283
22,0,193.79464285714283
23,21.651785714285715,193.79464285714283
24,36.651785714285715,193.79464285714283
25,0,193.79464285714283
26,0,193.79464285714283
27,14.508928571428571,193.79464285714283
28,73.79464285714288,193.79464285714283
29,11.651785714285715,193.79464285714283
30,5.2232142857142865,193.79464285714283
31,15.937500000000002,193.79464285714283
32,33.794642857142854,193.79464285714283
33,40.93750000000001,193.79464285714283
34,83.79464285714288,193.79464285714283
35,8.794642857142856,193.79464285714283
36,54.50892857142859,193.79464285714283
37,80.22321428571429,193.79464285714283
38,18.794642857142854,193.79464285714283
39,53.79464285714286,193.79464285714283
40,40.93749999999999,193.79464285714283
41,3.794642857142857,193.79464285714283
42,10.937500000000002,193.79464285714283
43,59.50892857142857,193.79464285714283
44,15.223214285714286,193.79464285714283
45,54.50892857142856,193.79464285714283
46,50.223214285714285,193.79464285714283
47,1.6517857142857153,193.79464285714283
48,6.6517857142857135,193.79464285714283
49,33.794642857142854,193.79464285714283
50,0,193.79464285714283
51,3.7946428571428594,193.79464285714283
52,8.794642857142854,193.79464285714283
53,103.79464285714288,193.79464285714283
54,63.79464285714287,193.79464285714283
55,0,193.79464285714283
56,17.36607142857143,193.79464285714283
57,38.794642857142854,193.79464285714283
58,55.22321428571429,193.79464285714283
59,77.36607142857146,193.79464285714283
60,0,193.79464285714283
61,48.79464285714286,193.79464285714283
62,0,193.79464285714283
63,3.7946428571428554,193.79464285714283
64,10.937500000000002,193.79464285714283
65,40.9375,193.79464285714283
66,0.2232142857142878,193.79464285714283
67,68.79464285714288,193.79464285714283
68,54.508928571428584,193.79464285714283
69,13.794642857142854,193.79464285714283
70,33.79464285714286,193.79464285714283
71,40.9375,193.79464285714283
72,0,193.79464285714283
73,0,193.79464285714283
74,15.223214285714288,193.79464285714283
75,0,193.79464285714283
76,8.79464285714286,193.79464285714283
77,39.50892857142858,193.79464285714283
78,0,193.79464285714283
79,0,193.79464285714283
80,98.79464285714288,193.79464285714283
81,45.93750000000001,193.79464285714283
82,0,193.79464285714283
83,6.651785714285717,193.79464285714283
84,6.651785714285715,193.79464285714283
85,0,193.79464285714283
86,0,193.79464285714283
87,0,193.79464285714283
88,0,193.79464285714283
89,6.651785714285715,193.79464285714283
90,97.36607142857146,193.79464285714283
91,0,193.79464285714283
92,67.36607142857146,193.79464285714283
93,45.22321428571428,193.79464285714283
94,0,193.79464285714283
95,0,193.79464285714283
96,0,193.79464285714283
97,0,193.79464285714283
98,0,193.79464285714283
99,0,193.79464285714283
100,30.9375,193.79464285714283
