Generation,temperature,Current Best Fitness,Overall Best Fitness
1,1000,-38,77,0.95
2,940.0,-24,77,0.94
3,874.1999999999999,12,77,0.9299999999999999
4,804.2639999999999,14,77,0.9199999999999999
5,731.8802399999998,-6,77,0.9099999999999999
6,658.6922159999999,-48,77,0.9
7,592.8229944,7,77,0.9
8,533.54069496,-44,77,0.9
9,480.18662546400003,-26,77,0.9
10,432.16796291760005,-36,77,0.9
11,388.9511666258401,-23,77,0.9
12,350.0560499632561,-15,77,0.9
13,315.0504449669305,-48,77,0.9
14,283.5454004702375,35,77,0.9
15,255.19086042321376,-43,77,0.9
16,229.6717743808924,-28,77,0.9
17,206.70459694280316,-38,77,0.9
18,186.03413724852285,-48,77,0.9
19,167.43072352367057,-28,77,0.9
20,150.68765117130351,0,77,0.9
21,135.61888605417317,-11,77,0.9
22,122.05699744875587,-28,77,0.9
23,109.85129770388028,-23,77,0.9
24,98.86616793349225,-16,77,0.9
25,88.97955114014303,-60,77,0.9
26,80.08159602612874,-29,77,0.9
27,72.07343642351586,-29,77,0.9
28,64.86609278116427,4,77,0.9
29,58.379483503047844,4,77,0.9
30,52.54153515274306,5,77,0.9
31,47.287381637468755,-45,77,0.9
32,42.55864347372188,-10,77,0.9
33,38.30277912634969,-5,77,0.9
34,34.47250121371472,0,77,0.9
35,31.02525109234325,0,77,0.9
36,27.922725983108926,0,77,0.9
37,25.130453384798034,15,77,0.9
38,22.617408046318232,15,77,0.9
39,20.355667241686408,15,77,0.9
40,18.32010051751777,37,77,0.9
41,16.488090465765993,37,77,0.9
42,14.839281419189394,37,77,0.9
43,13.355353277270455,37,77,0.9
44,12.019817949543409,37,77,0.9
45,10.817836154589068,37,77,0.9
46,9.736052539130162,37,77,0.9
47,8.762447285217146,19,77,0.9
48,7.886202556695431,19,77,0.9
49,7.097582301025888,19,77,0.9
50,6.387824070923299,19,77,0.9
51,5.74904166383097,19,77,0.9
52,5.174137497447873,19,77,0.9
53,4.656723747703086,19,77,0.9
54,4.191051372932777,19,77,0.9
55,3.7719462356394993,19,77,0.9
56,3.394751612075549,19,77,0.9
57,3.055276450867994,19,77,0.9
58,2.749748805781195,19,77,0.9
59,2.4747739252030754,19,77,0.9
60,2.227296532682768,19,77,0.9
61,2.0045668794144915,19,77,0.9
62,1.8041101914730424,19,77,0.9
63,1.6236991723257381,19,77,0.9
64,1.4613292550931642,19,77,0.9
65,1.3151963295838478,29,77,0.9
66,1.183676696625463,29,77,0.9
67,1.0653090269629168,29,77,0.9
68,0.9587781242666252,29,77,0.9
69,0.8629003118399627,29,77,0.9
70,0.7766102806559665,29,77,0.9
71,0.6989492525903699,29,77,0.9
72,0.6290543273313329,29,77,0.9
73,0.5661488945981996,29,77,0.9
74,0.5095340051383797,29,77,0.9
75,0.4585806046245417,29,77,0.9
76,0.41272254416208753,29,77,0.9
77,0.3714502897458788,29,77,0.9
78,0.3343052607712909,29,77,0.9
79,0.3008747346941618,42,77,0.9
80,0.27078726122474567,42,77,0.9
81,0.2437085351022711,42,77,0.9
82,0.219337681592044,42,77,0.9
83,0.1974039134328396,42,77,0.9
84,0.17766352208955566,42,77,0.9
85,0.1598971698806001,42,77,0.9
86,0.1439074528925401,42,77,0.9
87,0.1295167076032861,42,77,0.9
88,0.11656503684295749,42,77,0.9
89,0.10490853315866175,42,77,0.9
90,0.09441767984279557,42,77,0.9
91,0.08497591185851602,42,77,0.9
92,0.07647832067266443,42,77,0.9
93,0.06883048860539799,42,77,0.9
94,0.061947439744858196,42,77,0.9
95,0.055752695770372375,50,77,0.9
96,0.05017742619333514,50,77,0.9
97,0.04515968357400162,50,77,0.9
98,0.04064371521660146,50,77,0.9
99,0.03657934369494132,50,77,0.9
100,0.03292140932544719,50,77,0.9
101,0.02962926839290247,50,77,0.9
102,0.026666341553612225,50,77,0.9
103,0.023999707398251004,50,77,0.9
104,0.021599736658425905,50,77,0.9
105,0.019439762992583317,50,77,0.9
106,0.017495786693324987,50,77,0.9
107,0.01574620802399249,50,77,0.9
108,0.014171587221593241,50,77,0.9
109,0.012754428499433918,50,77,0.9
110,0.011478985649490526,50,77,0.9
111,0.010331087084541474,50,77,0.9
112,0.009297978376087326,50,77,0.9
113,0.008368180538478594,50,77,0.9
114,0.0075313624846307355,50,77,0.9
115,0.006778226236167662,50,77,0.9
116,0.006100403612550896,50,77,0.9
117,0.005490363251295807,50,77,0.9
118,0.004941326926166226,50,77,0.9
119,0.004447194233549604,50,77,0.9
120,0.004002474810194644,50,77,0.9
121,0.0036022273291751797,50,77,0.9
122,0.003242004596257662,50,77,0.9
123,0.002917804136631896,50,77,0.9
124,0.0026260237229687065,50,77,0.9
125,0.002363421350671836,50,77,0.9
126,0.0021270792156046522,50,77,0.9
127,0.001914371294044187,50,77,0.9
128,0.0017229341646397684,50,77,0.9
129,0.0015506407481757916,50,77,0.9
130,0.0013955766733582124,50,77,0.9
131,0.0012560190060223913,50,77,0.9
132,0.001130417105420152,50,77,0.9
133,0.001017375394878137,50,77,0.9
